FrankSm73679168,1,1305,2206,49,703,.18,.59,14.34
FranklynMonica,1,44,320,53,391,.28,.13,7.37
FrasierReggie,0,53,903,3,2,.01,.05,.66
FredTrumpsGhost,1,133,363,1156,1171,8.25,.36,1.01
Frederi01322054,1,64,485,385,2386,2.75,.13,6.19
Froggy93469850,1,12,26,1260,2084,4.06,.46,1.65
FrontHoler,1,464,2996,208,7331,.96,.15,35.24
FullerIAH,1,1769,2443,2385,8871,12.75,.72,3.71
FuryVon,1,18,229,101,119,.42,.07,1.17
GISELLA47184822,1,157,824,366,116,3.23,.19,.31
GMuhyool,1,8,106,5,20,.05,.07,4.00
GUsecuritypod,1,40,28,33,0,.25,1.42,0
GabeKornell,0,60,454,1651,879,5.50,.13,.53
GabrielPDavila,0,7,121,18,138,.13,.05,7.66
Gaksp21,1,72,1601,14,69,.12,.04,4.92
Garyly91,0,298,1079,380,344,1.47,.27,.90
GayVoice,0,793,1011,2734,23216,6.31,.78,8.49
GenderVe,0,470,412,96,66,.97,1.14,.68
GeneHarmon12,0,126,141,1110,4354,2.53,.89,3.92
GiantValerya,1,172,1172,94,0,.55,.14,0
Gigi13141,1,127,635,4388,10560,23.34,.20,2.40
Gil4Colorado,1,685,2278,6685,9518,18.72,.30,1.42
GinnyWilliams4R,0,148,190,8629,9129,19.21,.77,1.05
Glenhorton17,0,31,170,98,1117,.29,.18,11.39
GlennGlenndale,1,1170,1510,211,50,1.26,.77,.23
Glizzy61401251G,0,450,1327,500,411,2.51,.33,.82
Gmot42BAWDkn3YC,1,1,181,2,1310,.02,0,655.00
God_Bless_MAGA,0,198,591,20,21123,.07,.33,1056.15
GoodvsEvil247,1,258,412,4468,9260,10.46,.62,2.07
Gooeybutter1234,1,130,258,10127,8549,30.13,.50,.84
Gorica81260447,1,3,31,25,71,.14,.09,2.84
Graca48782071,1,9,47,4,0,.02,.19,0
GradAssist_Phys,0,180,689,8,7,.02,.26,.87
GrantyKennedy85,1,25,204,472,546,3.00,.12,1.15
GrazingHorses,1,79,199,702,535,6.88,.39,.76
GregGebert1,0,14,445,57,281,.55,.03,4.92
GregLucey1,0,46,173,268,549,.70,.26,2.04
GregRic11489976,0,966,1710,4995,5182,13.21,.56,1.03
GriffinNamin,0,244,951,564,3057,2.02,.25,5.42
