Aquariumtop,1,1,106,408,0,1.00,0,0
Arafat00909102,1,2,54,1,3,0,.03,3.00
AragornResists,1,624,830,587,1236,2.99,.75,2.10
ArhinCwesi,1,3,65,2,2,.01,.04,1.00
ArifGhouri8,1,4,133,12,0,.08,.03,0
Aristot88931196,1,3,59,22,45,.22,.05,2.04
ArizonaLuke,1,339,726,3437,3667,23.54,.46,1.06
ArmorAttack,1,410,939,22,746,.09,.43,33.90
ArnaudSupreme,1,7,250,27,34,.16,.02,1.25
ArslanK92589408,1,15,68,1,0,.01,.22,0
Art43066416,1,0,13,4,11,.02,0,2.75
Art7p7,1,14,109,615,802,3.01,.12,1.30
ArtTommy1,1,105,900,5,13,.03,.11,2.60
ArunSha40796308,1,65,1678,184,193,.84,.03,1.04
ArwoodDebbi,0,113,458,1719,6484,10.11,.24,3.77
AryaResists,0,24741,17424,87790,136803,244.54,1.41,1.55
AsareSheriff,1,43,519,15,143,.13,.08,9.53
AscendantLeft,1,6,91,333,664,3.46,.06,1.99
Aseemru,0,755,463,9460,62881,29.93,1.63,6.64
Asfand38828108,1,401,385,21253,12773,189.75,1.04,.60
AshShellie,1,17,328,599,770,2.10,.05,1.28
Ashley95643622,1,1502,3849,245,476,1.91,.39,1.94
AshleyCushman2,1,14,320,40,1087,.42,.04,27.17
AshleyDGregory,1,228,329,488,1654,1.93,.69,3.38
AshleyH42679986,0,17,243,147,836,.71,.06,5.68
AshleyJ19CCA,0,19,990,24,71,.16,.01,2.95
Ashleyaston10,0,4,59,14,17,.03,.06,1.21
AsilKha99480588,1,1,33,1,0,0,.03,0
AsitChoudhury6,1,9,343,215,215,1.14,.02,1.00
AssadHasson,1,6,94,152,7,1.33,.06,.04
AssessorStL,1,318,993,70,268,.50,.32,3.82
AssmaEshag,1,367,591,200,175,2.10,.62,.87
AtRealDonaldTr1,1,96,289,55,194,.32,.33,3.52
AtamUsmanBiri5,1,28,650,27,0,.17,.04,0
Athena4Freedom,1,1001,1742,8536,40060,31.04,.57,4.69
AthenaTaura,1,781,1090,1891,1461,6.41,.71,.77
Athuman03378653,1,30,224,52,25,.53,.13,.48
AtideMathias,1,23,95,1,1,0,.24,1.00
AtlanTo39697823,1,1,36,8,4,.05,.02,.50
AtsuRichmond1,1,7,199,54,721,.49,.03,13.35
AtteberyJoy,1,18,166,317,9585,.99,.10,30.23
AtticusTaine,1,31,260,288,2141,1.54,.11,7.43
AtwijukireSeith,1,1,55,3,1,.02,.01,.33
Audra81222709,1,14,105,3,12,.01,.13,4.00
Auggie70212973,1,3,74,422,836,2.72,.04,1.98
AungNai18488666,1,0,49,1,1,.01,0,1.00
AusAdair,1,4633,5084,3750,11057,19.23,.91,2.94
AusConsRodney,0,395,468,4295,5661,10.60,.84,1.31
AussumPossum,1,433,1089,5610,25231,14.92,.39,4.49
Austen84393250,1,1,151,11,1,.07,0,.09
AustinS64013874,1,32,708,57,0,.34,.04,0
AvaGabor3,1,1106,1214,7542,3964,21.98,.91,.52
AvenirVisions,0,559,3859,520,885,1.60,.14,1.70
AverySpence13,1,4,61,12,16,.04,.06,1.33
AviPatel0,1,24,76,228,2977,.70,.31,13.05
AwakeWWG1WGA,1,3795,4074,4610,40429,10.67,.93,8.76
AwarenessPalm,1,61,248,6,4,.04,.24,.66
AworkFh,1,3,839,133,75,.42,0,.56
Ayie293,1,61,1635,5,2,.03,.03,.40
AyubSuneel,1,36,472,455,6213,3.32,.07,13.65
AzamiZahra,1,1,17,4,1,.04,.05,.25
AzidOusseine,1,0,65,13,11,.11,0,.84
B7Angie,1,2,257,2,12,.01,0,6.00
BAA4TRUMP,1,1185,2061,7282,4414,31.25,.57,.60
BAnn913,1,3121,4196,13618,11813,43.09,.74,.86
BBZMVnxLt9QONEG,1,1,133,7,32,.07,0,4.57
BBest1958,1,20,244,809,2109,5.39,.08,2.60
BBlavie,1,18,614,46,177,.20,.02,3.84
BChilya4,1,3,170,2,8,.02,.01,4.00
BEALOVELY3,1,133,360,6285,1417,25.14,.36,.22
BFurnass,0,4,98,12,14,.10,.04,1.16
BILLYGR18377983,1,378,5223,12,0,.04,.07,0
BKlimik,1,22,1331,1208,2742,6.94,.01,2.26
BLine54335383,1,10,51,5,4,.04,.19,.80
BMGDemocrat,0,12,238,283,802,1.15,.05,2.83
BMcsimon,0,11,330,45,442,.18,.03,9.82
BMymH7gDqh005EH,1,3,40,4,0,.03,.07,0
BNK4879311834,1,9,122,14,40,.05,.07,2.85
BNorvii2,1,98,1229,1131,5357,4.56,.07,4.73
BREAKINGheadz,1,13,525,111,665,.36,.02,5.99
BShootingBlanks,1,16,983,131,7,.68,.01,.05
BSowason,1,2,16,9,0,.04,.12,0
BWave85,1,3,192,49,125,.26,.01,2.55
B_m_Hall,0,70,488,651,5997,1.62,.14,9.21
B_rokenDreams,1,7,76,46,11,.46,.09,.23
BaDshah20559489,1,6,71,3,3,.02,.08,1.00
BabaliciousDQ1,1,1212,2874,8652,32028,23.51,.42,3.70
Babiryepatrici3,1,3,166,5,3,.03,.01,.60
BabyPortabello,1,671,791,603,817,3.07,.84,1.35
